,Image,Category,Activity,Train
34,096563203.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
35,080839735.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
36,030461377.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
37,009767211.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
38,068423303.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
39,044015249.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
40,012203823.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
41,049517691.jpg,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",1.0
42,003438852.jpg,water activities,"swimming, synchronized",1.0
43,090932040.jpg,,,0.0
44,025877998.jpg,,,0.0
45,066252228.jpg,,,0.0
46,031171108.jpg,inactivity quiet/light,sitting quietly,1.0
47,052006802.jpg,water activities,"swimming, synchronized",1.0
48,054671028.jpg,water activities,"swimming, synchronized",1.0
49,018485446.jpg,home activities,scrubbing floors,1.0
50,096958463.jpg,home activities,"mopping, standing, light effort",1.0
51,077513282.jpg,home activities,"mopping, standing, light effort",1.0
52,093949894.jpg,home activities,"mopping, standing, light effort",1.0
53,089482735.jpg,home activities,"mopping, standing, light effort",1.0
54,059789998.jpg,home activities,"mopping, standing, light effort",1.0
55,092187424.jpg,home activities,"mopping, standing, light effort",1.0
56,008849250.jpg,occupation,"chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart",1.0
57,019598286.jpg,home activities,"cleaning, general",1.0
58,004522729.jpg,occupation,"chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart",1.0
59,032533033.jpg,,,0.0
60,038867729.jpg,,,0.0
61,027134903.jpg,,,0.0
62,082873751.jpg,lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",1.0
63,035675333.jpg,lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",1.0
64,028093451.jpg,lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",1.0
65,054269608.jpg,,,0.0
66,014092422.jpg,,,0.0
67,080219698.jpg,,,0.0
68,007455064.jpg,,,0.0
69,098688694.jpg,lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",1.0
70,077224477.jpg,lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",1.0
71,019871568.jpg,lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",1.0
72,000552212.jpg,lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",1.0
73,081546143.jpg,,,0.0
74,070685734.jpg,,,0.0
75,072900717.jpg,,,0.0
76,077127035.jpg,,,0.0
77,007404465.jpg,,,0.0
78,035846573.jpg,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",1.0
79,011586906.jpg,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",1.0
80,086310343.jpg,lawn and garden,"gardening, general, moderate effort",1.0
81,062329813.jpg,lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",1.0
82,033089802.jpg,,,0.0
83,006355835.jpg,miscellaneous,"standing, talking in person",1.0
84,031098232.jpg,miscellaneous,"standing, talking in person",1.0
85,032518332.jpg,miscellaneous,"standing, talking in person",1.0
86,072960618.jpg,miscellaneous,"standing, miscellaneous",1.0
87,063755747.jpg,miscellaneous,"standing, talking in person",1.0
88,088721274.jpg,sports,"lawn bowling, bocce ball, outdoor",1.0
89,047221493.jpg,sports,"lawn bowling, bocce ball, outdoor",1.0
90,011959425.jpg,sports,"lawn bowling, bocce ball, outdoor",1.0
91,071324479.jpg,sports,"lawn bowling, bocce ball, outdoor",1.0
92,076078505.jpg,sports,"lawn bowling, bocce ball, outdoor",1.0
93,056127720.jpg,religious activities,serving food in church,1.0
94,077096718.jpg,religious activities,serving food in church,1.0
95,049379560.jpg,religious activities,serving food in church,1.0
96,052273283.jpg,,,0.0
97,042754102.jpg,winter activities,"skiing, downhill",1.0
98,002541913.jpg,winter activities,"skiing, downhill",1.0
99,010789143.jpg,winter activities,"skiing, downhill",1.0
100,003142919.jpg,winter activities,"skiing, downhill",1.0
101,063641041.jpg,winter activities,"skiing, downhill",1.0
102,031435598.jpg,winter activities,"skiing, cross-country",1.0
103,050857069.jpg,winter activities,"skiing, cross-country",1.0
104,090756647.jpg,winter activities,"skiing, downhill",1.0
105,024929223.jpg,winter activities,"skiing, downhill",1.0
106,041038292.jpg,winter activities,"skiing, downhill",1.0
107,075555114.jpg,winter activities,"skiing, downhill",1.0
108,022879817.jpg,winter activities,"skiing, climbing up",1.0
109,007697991.jpg,winter activities,"skiing, climbing up",1.0
110,028975145.jpg,,,0.0
111,016122129.jpg,winter activities,"skiing, climbing up",1.0
112,092969765.jpg,winter activities,"skiing, climbing up",1.0
113,080812038.jpg,winter activities,"skiing, climbing up",1.0
114,063340376.jpg,winter activities,"skiing, downhill",1.0
115,087146059.jpg,winter activities,"skiing, climbing up",1.0
116,080367208.jpg,winter activities,"skiing, climbing up",1.0
117,018657006.jpg,winter activities,"skiing, climbing up",1.0
118,089255900.jpg,winter activities,"skiing, downhill",1.0
119,053934224.jpg,occupation,"horse grooming, feeding, cleaning, harnessing and unharnessing",1.0
120,080744016.jpg,occupation,"horse grooming, feeding, cleaning, harnessing and unharnessing",1.0
121,089609130.jpg,sports,"horse cart, driving, standing or sitting",1.0
122,031800347.jpg,sports,"horse cart, driving, standing or sitting",1.0
123,011005192.jpg,occupation,"horse grooming, feeding, cleaning, harnessing and unharnessing",1.0
124,022793516.jpg,occupation,"horse grooming, feeding, cleaning, harnessing and unharnessing",1.0
125,042710779.jpg,,,0.0
126,081801477.jpg,,,0.0
127,086073058.jpg,occupation,"horse grooming, feeding, cleaning, harnessing and unharnessing",1.0
128,000695213.jpg,occupation,"horse grooming, feeding, cleaning, harnessing and unharnessing",1.0
129,051074730.jpg,occupation,"horse grooming, feeding, cleaning, harnessing and unharnessing",1.0
130,041741100.jpg,occupation,"horse grooming, feeding, cleaning, harnessing and unharnessing",1.0
131,022210781.jpg,occupation,"horse grooming, feeding, cleaning, harnessing and unharnessing",1.0
132,011986537.jpg,occupation,"horse grooming, feeding, cleaning, harnessing and unharnessing",1.0
133,033761517.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
134,094290970.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
135,032320293.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
136,051879062.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
137,070301896.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
138,036362960.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
139,097178208.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
140,096244729.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
141,025178230.jpg,bicycling,"bicycling, general",1.0
142,049724851.jpg,bicycling,"bicycling, general",1.0
143,030087831.jpg,bicycling,"bicycling, general",1.0
144,028484049.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
145,003688695.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
146,060956433.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
147,050267902.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
148,005147875.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
149,027864646.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
150,090826589.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
151,023956189.jpg,sports,hacky sack,1.0
152,014489487.jpg,sports,hacky sack,1.0
153,048945276.jpg,sports,hacky sack,1.0
154,098565045.jpg,sports,hacky sack,1.0
155,024205527.jpg,sports,hacky sack,1.0
156,067213555.jpg,sports,hacky sack,1.0
157,076161962.jpg,sports,hacky sack,1.0
158,023763754.jpg,sports,hacky sack,1.0
159,072821635.jpg,sports,hacky sack,1.0
160,036778313.jpg,,,0.0
161,063230583.jpg,,,0.0
162,063352971.jpg,,,0.0
163,053577468.jpg,,,0.0
164,009028977.jpg,,,0.0
165,083530250.jpg,,,0.0
166,032078006.jpg,sports,hacky sack,1.0
167,018651851.jpg,sports,hacky sack,1.0
168,004077514.jpg,sports,hacky sack,1.0
169,059089294.jpg,,,0.0
170,067756436.jpg,,,0.0
171,001658783.jpg,,,0.0
172,051209306.jpg,sports,hacky sack,1.0
173,022649578.jpg,sports,hacky sack,1.0
174,064517279.jpg,lawn and garden,"shoveling snow, by hand",1.0
175,017436643.jpg,lawn and garden,"shoveling snow, by hand",1.0
176,069093774.jpg,lawn and garden,"shoveling snow, by hand",1.0
177,038673535.jpg,lawn and garden,"shoveling snow, by hand",1.0
178,093672999.jpg,lawn and garden,"shoveling snow, by hand",1.0
179,013752094.jpg,lawn and garden,"shoveling snow, by hand",1.0
180,034106635.jpg,lawn and garden,"shoveling snow, by hand",1.0
181,011347352.jpg,lawn and garden,"shoveling snow, by hand",1.0
182,092469362.jpg,,,0.0
183,087733935.jpg,,,0.0
184,025794163.jpg,,,0.0
185,065998405.jpg,,,0.0
186,081722220.jpg,,,0.0
187,055520081.jpg,,,0.0
188,052965058.jpg,fishing and hunting,"fishing, general",1.0
189,024185229.jpg,fishing and hunting,"fishing, general",1.0
190,009310277.jpg,fishing and hunting,"fishing, general",1.0
191,089721576.jpg,fishing and hunting,"fishing, general",1.0
192,090041806.jpg,fishing and hunting,"fishing, general",1.0
193,063310146.jpg,fishing and hunting,"fishing, general",1.0
194,033902979.jpg,,,0.0
195,034920957.jpg,,,0.0
196,072595568.jpg,,,0.0
197,089711026.jpg,,,0.0
198,088708642.jpg,,,0.0
199,077987555.jpg,,,0.0
200,064203165.jpg,,,0.0
201,008413996.jpg,,,0.0
202,016162871.jpg,,,0.0
203,089855419.jpg,,,0.0
204,060642906.jpg,,,0.0
205,000919705.jpg,,,0.0
206,010147154.jpg,home activities,ironing,1.0
207,066350177.jpg,home activities,ironing,1.0
208,000506158.jpg,home activities,ironing,1.0
209,016080805.jpg,home activities,ironing,1.0
210,054873379.jpg,home activities,ironing,1.0
211,069189520.jpg,home activities,ironing,1.0
212,065196126.jpg,home activities,ironing,1.0
213,022426931.jpg,home activities,ironing,1.0
214,071217922.jpg,home activities,ironing,1.0
215,023724909.jpg,home activities,ironing,1.0
216,032539970.jpg,home activities,ironing,1.0
217,074649141.jpg,home activities,ironing,1.0
218,064963290.jpg,home activities,ironing,1.0
219,084922341.jpg,dancing,ballroom,1.0
220,065761289.jpg,dancing,ballroom,1.0
221,056830860.jpg,dancing,ballroom,1.0
222,009367477.jpg,dancing,ballroom,1.0
223,036771580.jpg,dancing,ballroom,1.0
224,026520237.jpg,dancing,ballroom,1.0
225,024398964.jpg,dancing,ballroom,1.0
226,097301055.jpg,dancing,ballroom,1.0
227,039309772.jpg,dancing,ballroom,1.0
228,089204656.jpg,,,0.0
229,063113863.jpg,dancing,ballroom,1.0
230,079481130.jpg,dancing,ballroom,1.0
231,050263709.jpg,dancing,ballroom,1.0
232,057690388.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
233,049251769.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
234,019524299.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
235,072245212.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
236,028077236.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
237,002431597.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
238,064547230.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
239,017711068.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
240,094045858.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
241,095392858.jpg,,,0.0
242,091486439.jpg,,,0.0
243,037015870.jpg,,,0.0
244,001545662.jpg,,,0.0
245,092831856.jpg,,,0.0
246,042818415.jpg,,,0.0
247,096665482.jpg,,,0.0
248,096361998.jpg,,,0.0
249,085300946.jpg,,,0.0
250,029444889.jpg,,,0.0
251,038509773.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
252,085113667.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
253,031692201.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
254,016949275.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
255,055680126.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
256,093615477.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
257,069602980.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
258,057006117.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
259,009717649.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
260,061500723.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
261,099005385.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
262,014008402.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
263,051832965.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
264,087737307.jpg,conditioning exercise,"therapeutic exercise ball, Fitball exercise",1.0
265,074076862.jpg,miscellaneous,"standing, arts and crafts, sand painting, carving, weaving",1.0
266,069701574.jpg,miscellaneous,"standing, arts and crafts, sand painting, carving, weaving",1.0
267,070248408.jpg,miscellaneous,"standing, arts and crafts, sand painting, carving, weaving",1.0
268,035949115.jpg,miscellaneous,"standing, arts and crafts, sand painting, carving, weaving",1.0
269,029359184.jpg,sports,"volleyball, indoor",1.0
270,080936116.jpg,sports,"volleyball, indoor",1.0
271,081011339.jpg,sports,"volleyball, indoor",1.0
272,086707232.jpg,sports,"volleyball, indoor",1.0
273,091324055.jpg,sports,"volleyball, indoor",1.0
274,051134240.jpg,sports,"volleyball, indoor",1.0
275,050151629.jpg,sports,rock climbing,1.0
276,079829518.jpg,sports,rock climbing,1.0
277,064996393.jpg,sports,rock climbing,1.0
278,070196688.jpg,sports,"gymnastics, general",1.0
279,079579267.jpg,sports,"gymnastics, general",1.0
280,089000534.jpg,,,0.0
281,033799516.jpg,,,0.0
282,037558295.jpg,,,0.0
283,009398194.jpg,,,0.0
284,057828014.jpg,sports,"basketball, game (Taylor Code 490)",1.0
285,003594227.jpg,,,0.0
286,046559802.jpg,sports,basketball,1.0
287,054264463.jpg,sports,basketball,1.0
288,028654125.jpg,sports,basketball,1.0
289,059083326.jpg,sports,basketball,1.0
290,003050025.jpg,fishing and hunting,"fishing, general",1.0
291,003734819.jpg,fishing and hunting,"fishing, general",1.0
292,082260056.jpg,,,0.0
293,036019064.jpg,,,0.0
294,012706051.jpg,,,0.0
295,052224326.jpg,,,0.0
296,076999355.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
297,021582103.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
298,062289048.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
299,008534746.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
300,005168172.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
301,053135463.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
302,054063512.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
303,063742990.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
304,072609133.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
305,097585208.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
306,051630035.jpg,fishing and hunting,"hunting, bow and arrow, or crossbow",1.0
307,032295647.jpg,,,0.0
308,079518619.jpg,lawn and garden,laying crushed rock,1.0
309,027083225.jpg,lawn and garden,laying crushed rock,1.0
310,043897142.jpg,lawn and garden,laying crushed rock,1.0
311,007845638.jpg,lawn and garden,laying crushed rock,1.0
312,002535074.jpg,miscellaneous,"standing, talking in person",1.0
313,096264841.jpg,lawn and garden,laying crushed rock,1.0
314,083598012.jpg,lawn and garden,laying crushed rock,1.0
315,069597421.jpg,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",1.0
316,040895294.jpg,miscellaneous,"standing, talking in person",1.0
317,017329432.jpg,miscellaneous,"standing, talking in person",1.0
318,015643704.jpg,water activities,"kayaking, moderate effort",1.0
319,025024290.jpg,water activities,"kayaking, moderate effort",1.0
320,054922666.jpg,water activities,"kayaking, moderate effort",1.0
321,071459592.jpg,water activities,"kayaking, moderate effort",1.0
322,066019738.jpg,water activities,"kayaking, moderate effort",1.0
323,027993390.jpg,,,0.0
324,095486528.jpg,,,0.0
325,073789692.jpg,water activities,"kayaking, moderate effort",1.0
326,055435405.jpg,water activities,"kayaking, moderate effort",1.0
327,061172075.jpg,water activities,"swimming, sidestroke, general",1.0
328,041960006.jpg,water activities,"swimming, sidestroke, general",1.0
329,024773099.jpg,water activities,"swimming, sidestroke, general",1.0
330,035597268.jpg,,,0.0
331,075784611.jpg,,,0.0
332,001439349.jpg,water activities,"swimming, sidestroke, general",1.0
333,011607264.jpg,water activities,"swimming, sidestroke, general",1.0
334,004600264.jpg,walking,"marching, military, no pack",1.0
335,004072880.jpg,walking,"marching, military, no pack",1.0
336,085546058.jpg,,,0.0
337,070365786.jpg,,,0.0
338,047417383.jpg,water activities,"tubing, floating on a river, general",1.0
339,009783416.jpg,water activities,"tubing, floating on a river, general",1.0
340,049161588.jpg,,,0.0
341,047347177.jpg,,,0.0
342,017320187.jpg,water activities,"whitewater rafting, kayaking, or canoeing",1.0
343,043385165.jpg,water activities,"whitewater rafting, kayaking, or canoeing",1.0
344,039850473.jpg,bicycling,"bicycling, racing and road",1.0
345,061585010.jpg,bicycling,"bicycling, mountain",1.0
346,063509365.jpg,bicycling,"bicycling, mountain",1.0
347,004530401.jpg,bicycling,"bicycling, racing and road",1.0
348,037461261.jpg,bicycling,"bicycling, racing and road",1.0
349,062585992.jpg,bicycling,"bicycling, racing and road",1.0
350,050313626.jpg,,,0.0
351,085648984.jpg,bicycling,"bicycling, racing and road",1.0
352,065869363.jpg,bicycling,"bicycling, racing and road",1.0
353,016293443.jpg,bicycling,"bicycling, racing and road",1.0
354,007056875.jpg,bicycling,"bicycling, racing and road",1.0
355,064241928.jpg,bicycling,"bicycling, racing and road",1.0
356,002651131.jpg,bicycling,"bicycling, racing and road",1.0
357,058577558.jpg,bicycling,"bicycling, racing and road",1.0
358,094023024.jpg,water activities,"water aerobics, water calisthenics",1.0
359,057547418.jpg,water activities,"water aerobics, water calisthenics",1.0
360,038816993.jpg,,,0.0
361,064328822.jpg,,,0.0
362,045825289.jpg,,,0.0
363,054561679.jpg,,,0.0
364,094146481.jpg,,,0.0
365,038610264.jpg,,,0.0
366,096119056.jpg,sports,"football or baseball, playing catch",1.0
367,090535064.jpg,sports,"football or baseball, playing catch",1.0
368,019579113.jpg,sports,soccer,1.0
369,006936130.jpg,,,0.0
370,010077800.jpg,,,0.0
371,001822183.jpg,,,0.0
372,009444296.jpg,winter activities,dog sledding,1.0
373,068300677.jpg,winter activities,dog sledding,1.0
374,007118865.jpg,winter activities,dog sledding,1.0
375,031897563.jpg,winter activities,dog sledding,1.0
376,084487531.jpg,winter activities,dog sledding,1.0
377,002327194.jpg,winter activities,dog sledding,1.0
378,081446848.jpg,winter activities,dog sledding,1.0
379,028185477.jpg,winter activities,dog sledding,1.0
380,011816483.jpg,winter activities,dog sledding,1.0
381,069673717.jpg,winter activities,dog sledding,1.0
382,062894285.jpg,winter activities,dog sledding,1.0
383,087747201.jpg,winter activities,dog sledding,1.0
384,073507104.jpg,winter activities,dog sledding,1.0
385,080348093.jpg,winter activities,dog sledding,1.0
386,028203457.jpg,walking,backpacking,1.0
387,017743954.jpg,walking,backpacking,1.0
388,075061475.jpg,,,0.0
389,080683474.jpg,,,0.0
390,099050514.jpg,sports,orienteering,1.0
391,041261768.jpg,sports,orienteering,1.0
392,037201809.jpg,,,0.0
393,077641296.jpg,sports,orienteering,1.0
394,034080354.jpg,sports,orienteering,1.0
395,093075733.jpg,sports,orienteering,1.0
396,085841275.jpg,sports,orienteering,1.0
397,042899403.jpg,sports,orienteering,1.0
398,075087107.jpg,sports,orienteering,1.0
399,075454287.jpg,,,0.0
400,010312387.jpg,,,0.0
401,090255291.jpg,sports,orienteering,1.0
402,050525237.jpg,sports,orienteering,1.0
403,082645747.jpg,miscellaneous,"standing, miscellaneous",1.0
404,032004960.jpg,,,0.0
405,089552323.jpg,,,0.0
406,038920168.jpg,,,0.0
407,001083765.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
408,090538198.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
409,009128668.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
410,031931364.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
411,095006197.jpg,,,0.0
412,095060715.jpg,,,0.0
413,057343789.jpg,,,0.0
414,063183721.jpg,,,0.0
415,044844552.jpg,miscellaneous,"standing, miscellaneous",1.0
416,029321077.jpg,miscellaneous,"standing, miscellaneous",1.0
417,032866455.jpg,miscellaneous,"standing, miscellaneous",1.0
418,067251846.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
419,075237453.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
420,079157904.jpg,conditioning exercise,"video exercise workouts, TV conditioning programs",1.0
421,078961814.jpg,occupation,tailoring,1.0
422,009120610.jpg,occupation,tailoring,1.0
423,049442030.jpg,,,0.0
424,005755876.jpg,,,0.0
425,054952888.jpg,,,0.0
426,044153050.jpg,occupation,tailoring,1.0
427,088770418.jpg,occupation,tailoring,1.0
428,035091501.jpg,occupation,tailoring,1.0
429,011706702.jpg,occupation,tailoring,1.0
430,014299168.jpg,occupation,tailoring,1.0
431,076151063.jpg,occupation,tailoring,1.0
432,061821806.jpg,sports,racquetball,1.0
433,010112268.jpg,sports,racquetball,1.0
434,008410681.jpg,sports,racquetball,1.0
435,070096913.jpg,sports,racquetball,1.0
436,007276301.jpg,sports,racquetball,1.0
437,082186006.jpg,sports,racquetball,1.0
438,070624223.jpg,sports,racquetball,1.0
439,008134878.jpg,sports,racquetball,1.0
440,008483771.jpg,sports,racquetball,1.0
441,098663958.jpg,sports,racquetball,1.0
442,037427080.jpg,,,0.0
443,037064215.jpg,,,0.0
444,081279957.jpg,home activities,playing with animals,1.0
445,094724858.jpg,home activities,playing with animals,1.0
446,098600106.jpg,home activities,playing with animals,1.0
447,075337819.jpg,home activities,playing with animals,1.0
448,037625959.jpg,home activities,playing with animals,1.0
449,008350072.jpg,home activities,playing with animals,1.0
450,077714692.jpg,home activities,playing with animals,1.0
451,055840425.jpg,home activities,playing with animals,1.0
452,042422201.jpg,home activities,playing with animals,1.0
453,090635439.jpg,home activities,playing with animals,1.0
454,011119748.jpg,home activities,playing with animals,1.0
455,049262510.jpg,winter activities,"operating snow blower, walking",1.0
456,001135364.jpg,winter activities,"operating snow blower, walking",1.0
457,046866064.jpg,,,0.0
458,005630328.jpg,,,0.0
459,011881792.jpg,,,0.0
460,011752625.jpg,lawn and garden,"digging, spading, filling garden, composting",1.0
461,064921030.jpg,lawn and garden,"digging, spading, filling garden, composting",1.0
462,074604488.jpg,lawn and garden,"digging, spading, filling garden, composting",1.0
463,058336877.jpg,conditioning exercise,"stretching, mild",1.0
464,096217255.jpg,conditioning exercise,"stretching, mild",1.0
465,037487058.jpg,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",1.0
466,028571209.jpg,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",1.0
467,086859913.jpg,conditioning exercise,"stretching, mild",1.0
468,022359584.jpg,conditioning exercise,"stretching, mild",1.0
469,096322254.jpg,conditioning exercise,"stretching, mild",1.0
470,001215447.jpg,miscellaneous,"sitting, writing, desk work, typing",1.0
471,096987883.jpg,miscellaneous,"sitting, writing, desk work, typing",1.0
472,004315991.jpg,,,0.0
473,089114311.jpg,running,running,1.0
474,052770111.jpg,,,0.0
475,099296480.jpg,running,running,1.0
476,007379656.jpg,running,running,1.0
477,055385428.jpg,running,running,1.0
478,096930254.jpg,running,running,1.0
479,052309784.jpg,running,jogging,1.0
480,062939864.jpg,,,0.0
481,069574869.jpg,running,running,1.0
482,045454106.jpg,running,running,1.0
483,062755808.jpg,occupation,"skindiving or SCUBA diving as a frogman, Navy Seal",1.0
484,058431431.jpg,occupation,"skindiving or SCUBA diving as a frogman, Navy Seal",1.0
485,090115801.jpg,occupation,"skindiving or SCUBA diving as a frogman, Navy Seal",1.0
486,004544638.jpg,occupation,"skindiving or SCUBA diving as a frogman, Navy Seal",1.0
487,028096319.jpg,occupation,"skindiving or SCUBA diving as a frogman, Navy Seal",1.0
488,095041148.jpg,occupation,"skindiving or SCUBA diving as a frogman, Navy Seal",1.0
